step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
615,0.23692,0.92174,,,,
616,0.26541,0.92464,,,,
617,0.2335,0.92464,,,,
618,0.26113,0.91884,,,,
619,0.23842,0.91594,,,,
620,0.3031,0.89565,,,,
621,0.27362,0.90435,,,,
622,0.23155,0.91884,,,,
623,0.27318,0.88986,,,,
624,0.29326,0.91014,,,,
625,0.2137,0.92754,,,,
626,0.26425,0.89855,,,,
627,0.23497,0.91594,,,,
628,0.23282,0.92464,,,,
629,0.27303,0.89855,,,,
630,0.29148,0.88696,,,,
631,0.24567,0.91304,,,,
632,0.26374,0.90145,,,,
633,0.22304,0.91594,,,,
634,0.27381,0.89855,,,,
635,0.23792,0.92174,,,,
636,0.29917,0.87826,,,,
637,0.25891,0.91304,,,,
638,0.24812,0.91884,,,,
639,0.24324,0.93333,,,,
640,0.25082,0.90435,,,,
641,0.26549,0.89855,,,,
642,0.28145,0.91014,,,,
643,0.26387,0.91304,,,,
644,0.30056,0.88986,,,,
645,0.21767,0.93333,,,,
646,0.26471,0.90725,,,,
647,0.26018,0.91014,,,,
648,0.23461,0.91594,,,,
649,0.22481,0.92464,,,,
650,0.22469,0.91594,,,,
651,0.22849,0.93043,,,,
652,0.25118,0.91594,,,,
653,0.21185,0.92754,,,,
654,0.21949,0.91594,,,,
655,0.28935,0.90725,,,,
656,0.2434,0.91594,,,,
657,0.28943,0.90725,,,,
658,0.23973,0.92174,,,,
659,0.30391,0.89275,,,,
660,0.2689,0.91304,,,,
661,0.25073,0.90725,,,,
662,0.27234,0.91014,,,,
663,0.24673,0.91884,,,,
664,0.26952,0.90145,,,,
665,0.23553,0.92754,,,,
666,0.27691,0.90725,,,,
667,0.2627,0.90145,,,,
668,0.28179,0.89275,,,,
669,0.27278,0.90435,,,,
670,0.27702,0.90725,,,,
671,0.25594,0.90435,,,,
672,0.26924,0.91014,,,,
673,0.2548,0.90725,,,,
674,0.20101,0.93623,,,,
675,0.23923,0.91304,,,,
676,0.32075,0.87246,,,,
677,0.20377,0.92464,,,,
678,0.2583,0.91014,,,,
679,0.22262,0.92464,,,,
680,0.27492,0.89565,,,,
681,0.22335,0.92174,,,,
682,0.23608,0.92174,,,,
683,0.25499,0.90725,,,,
684,0.23679,0.92464,,,,
685,0.23716,0.92464,,,,
686,0.23393,0.91884,,,,
687,0.2418,0.91884,,,,
688,0.23453,0.90435,,,,
689,0.30095,0.89855,,,,
690,0.23555,0.91304,,,,
691,0.29461,0.89275,,,,
692,0.21159,0.94493,,,,
693,0.24735,0.91594,,,,
694,0.24778,0.90435,,,,
695,0.33532,0.86957,,,,
696,0.1842,0.94783,,,,
697,0.29181,0.89855,,,,
698,0.29708,0.88986,,,,
699,0.26158,0.91304,,,,
700,0.25702,0.91594,0.25647,0.89855,,
701,0.24615,0.91304,,,,
702,0.25261,0.90435,,,,
703,0.23514,0.91594,,,,
704,0.31586,0.88696,,,,
705,0.23905,0.91594,,,,
706,0.23474,0.91594,,,,
707,0.27705,0.89855,,,,
708,0.24796,0.92174,,,,
709,0.25502,0.91014,,,,
710,0.28991,0.89855,,,,
711,0.25557,0.92174,,,,
712,0.19887,0.92754,,,,
713,0.24855,0.92174,,,,
714,0.21883,0.92174,,,,
715,0.21828,0.92464,,,,
716,0.25859,0.91304,,,,
717,0.19919,0.94783,,,,
718,0.30212,0.89565,,,,
719,0.27979,0.90725,,,,
720,0.18098,0.94493,,,,
721,0.2656,0.90435,,,,
722,0.20033,0.94203,,,,
723,0.29227,0.90145,,,,
724,0.30565,0.89275,,,,
725,0.30535,0.90725,,,,
726,0.30302,0.88116,,,,
727,0.26857,0.89565,,,,
728,0.24626,0.91014,,,,
729,0.27603,0.89855,,,,
730,0.25838,0.92174,,,,
731,0.27263,0.90725,,,,
732,0.2635,0.90725,,,,
733,0.23689,0.92464,,,,
734,0.19773,0.93623,,,,
735,0.20135,0.93333,,,,
